ISBN,Book-Title,Book-Author,Year-Of-Publication,Publisher,Image-URL-S,Image-URL-M,Image-URL-L,Description,Page Count,Language,Genre
451524934,1984,George Orwell,1990,Signet Book,http://images.amazon.com/images/P/0451524934.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0451524934.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0451524934.01.LZZZZZZZ.jpg,afa,,,
345316413X,A Clockwork Orange,Anthony Burgess,2000,Heyne,http://images.amazon.com/images/P/345316413X.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/345316413X.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/345316413X.01.LZZZZZZZ.jpg,,,,
451526562,A Tale of Two Cities,Charles Dickens,1997,Signet Book,http://images.amazon.com/images/P/0451526562.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0451526562.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0451526562.01.LZZZZZZZ.jpg,,,,
60809833,Brave New World,Aldous Huxley,1989,Harpercollins,http://images.amazon.com/images/P/0060809833.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0060809833.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0060809833.01.LZZZZZZZ.jpg,,,,
553210939,Crime and Punishment,Fyodor M. Dostoevsky,1982,Bantam,http://images.amazon.com/images/P/0553210939.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0553210939.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0553210939.01.LZZZZZZZ.jpg,,,,
812589041,Ender's Game,Orson Scott Card,1999,Tor Books,http://images.amazon.com/images/P/0812589041.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0812589041.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0812589041.01.LZZZZZZZ.jpg,,,,
3257208626,Fahrenheit 451,Ray Bradbury,1994,Distribooks Inc,http://images.amazon.com/images/P/3257208626.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/3257208626.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/3257208626.01.LZZZZZZZ.jpg,,,,
451511328,Frankenstein,Mary Wollstonecraft Shelley,1965,Signet Book,http://images.amazon.com/images/P/0451511328.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0451511328.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0451511328.01.LZZZZZZZ.jpg,,,,
553213113,Moby-Dick,HERMAN MELVILLE,1981,Bantam,http://images.amazon.com/images/P/0553213113.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0553213113.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0553213113.01.LZZZZZZZ.jpg,,,,
60929790,One Hundred Years of Solitude,Gabriel Garcia Marquez,1998,Perennial,http://images.amazon.com/images/P/0060929790.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0060929790.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0060929790.01.LZZZZZZZ.jpg,,,,
553213105,Pride and Prejudice,Jane Austen,1981,Bantam,http://images.amazon.com/images/P/0553213105.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0553213105.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0553213105.01.LZZZZZZZ.jpg,,,,
385333846,Slaughterhouse-Five,KURT VONNEGUT,1999,Delta,http://images.amazon.com/images/P/0385333846.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0385333846.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0385333846.01.LZZZZZZZ.jpg,,,,
1566192951,The Adventures of Huckleberry Finn,Mark Twain,1994,Barnes Noble,http://images.amazon.com/images/P/1566192951.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/1566192951.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/1566192951.01.LZZZZZZZ.jpg,,,,
553255983,The Alchemist,Ken Goddard,1986,Bantam Books,http://images.amazon.com/images/P/0553255983.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0553255983.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0553255983.01.LZZZZZZZ.jpg,,,,
385299850,The Art of War,Sun Tzu,1989,Delta,http://images.amazon.com/images/P/0385299850.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0385299850.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0385299850.01.LZZZZZZZ.jpg,,,,
553278355,The Bell Jar,Sylvia Plath,1983,Bantam,http://images.amazon.com/images/P/0553278355.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0553278355.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0553278355.01.LZZZZZZZ.jpg,,,,
553212168,The Brothers Karamazov,FYODOR DOSTOEVSKY,1984,Bantam Classics,http://images.amazon.com/images/P/0553212168.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0553212168.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0553212168.01.LZZZZZZZ.jpg,,,,
374528373,The Brothers Karamazov,Fyodor Dostoevsky,2002,"Farrar, Straus and Giroux",http://images.amazon.com/images/P/0374528373.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0374528373.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0374528373.01.LZZZZZZZ.jpg,,,,
316769487,The Catcher in the Rye,J.D. Salinger,1991,"Little, Brown",http://images.amazon.com/images/P/0316769487.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0316769487.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0316769487.01.LZZZZZZZ.jpg,,,,
590257889,The Chronicles of Narnia,C. S. Lewis,1995,Scholastic Inc.,http://images.amazon.com/images/P/0590257889.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0590257889.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0590257889.01.LZZZZZZZ.jpg,,,,
671617028,The Color Purple,Alice Walker,1985,Pocket Books,http://images.amazon.com/images/P/0671617028.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0671617028.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0671617028.01.LZZZZZZZ.jpg,,,,
451521951,The Count of Monte Cristo,Alexandre Dumas,1995,Signet Book,http://images.amazon.com/images/P/0451521951.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0451521951.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0451521951.01.LZZZZZZZ.jpg,,,,
